tournaments.RoundRobinTournament
AIs
	WorkerDefense(AStarPathFinding)
	RandomBiasedAI
	MLPSMCTS(100, -1, 100, 10, 0.05, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	InformedNaiveMCTS(100, -1, 100, 10, 0.3, 1.0, 0.0, 1.0, 0.4, 1.0, UnitActionProbabilityDistributionAI(ActionInterdependenceModel-Acc-WR), AIM-WR, SimpleSqrtEvaluationFunction3)
	SCV
maps
	/Users/mukesh/Desktop/MicroRTS-LLM/maps/basesWorkers32x32A.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	3000	-1	-1	-1
0	0	0	2	91	0	-1	1
0	0	0	3	76	0	-1	1
0	0	0	4	3000	-1	-1	-1
0	0	1	0	3000	-1	-1	-1
0	0	1	2	9	0	-1	1
0	0	1	3	21	0	-1	1
0	0	1	4	2715	1	-1	-1
0	0	2	0	3	1	-1	0
0	0	2	1	5	1	-1	0
0	0	2	3	5	1	-1	0
0	0	2	4	6	1	-1	0
0	0	3	0	4	1	-1	0
0	0	3	1	44	1	-1	0
0	0	3	2	3	0	-1	1
0	0	3	4	9	1	-1	0
0	0	4	0	3000	-1	-1	-1
0	0	4	1	3000	0	-1	-1
0	0	4	2	2	0	-1	1
0	0	4	3	2	0	-1	1
1	0	0	1	3000	-1	-1	-1
1	0	0	2	78	0	-1	1
1	0	0	3	45	0	-1	1
1	0	0	4	3000	-1	-1	-1
1	0	1	0	3000	-1	-1	-1
1	0	1	2	9	0	-1	1
1	0	1	3	8	0	-1	1
1	0	1	4	2505	1	-1	-1
1	0	2	0	39	1	-1	0
1	0	2	1	6	1	-1	0
1	0	2	3	10	1	-1	0
1	0	2	4	49	1	-1	0
1	0	3	0	57	1	-1	0
1	0	3	1	3	1	-1	0
1	0	3	2	8	0	-1	1
1	0	3	4	1678	1	-1	0
1	0	4	0	3000	-1	-1	-1
1	0	4	1	2285	0	-1	-1
1	0	4	2	33	0	-1	1
1	0	4	3	453	0	-1	1
2	0	0	1	3000	-1	-1	-1
2	0	0	2	17	0	-1	1
2	0	0	3	28	0	-1	1
2	0	0	4	3000	-1	-1	-1
2	0	1	0	1440	1	-1	-1
2	0	1	2	12	0	-1	1
2	0	1	3	108	0	-1	1
2	0	1	4	2545	1	-1	-1
2	0	2	0	485	1	-1	0
2	0	2	1	7	1	-1	0
2	0	2	3	53	1	-1	0
2	0	2	4	12	1	-1	0
2	0	3	0	8	1	-1	0
2	0	3	1	29	1	-1	0
2	0	3	2	67	0	-1	1
2	0	3	4	5	1	-1	0
2	0	4	0	3000	-1	-1	-1
2	0	4	1	3000	-1	-1	-1
2	0	4	2	32	0	-1	1
2	0	4	3	11	0	-1	1
3	0	0	1	3000	-1	-1	-1
3	0	0	2	3	0	-1	1
3	0	0	3	21	0	-1	1
3	0	0	4	3000	-1	-1	-1
3	0	1	0	3000	-1	-1	-1
3	0	1	2	22	0	-1	1
3	0	1	3	1502	0	-1	1
3	0	1	4	2795	1	-1	-1
3	0	2	0	71	1	-1	0
3	0	2	1	1	1	-1	0
3	0	2	3	18	0	-1	1
3	0	2	4	10	1	-1	0
3	0	3	0	88	1	-1	0
3	0	3	1	2	1	-1	0
3	0	3	2	14	1	-1	0
3	0	3	4	1	1	-1	0
3	0	4	0	3000	-1	-1	-1
3	0	4	1	2445	0	-1	-1
3	0	4	2	19	0	-1	1
3	0	4	3	853	0	-1	1
4	0	0	1	2580	0	-1	-1
4	0	0	2	39	0	-1	1
4	0	0	3	7	0	-1	1
4	0	0	4	3000	-1	-1	-1
4	0	1	0	1820	1	-1	-1
4	0	1	2	108	0	-1	1
4	0	1	3	12	0	-1	1
4	0	1	4	2710	1	-1	-1
4	0	2	0	40	1	-1	0
4	0	2	1	9	1	-1	0
4	0	2	3	17	0	-1	1
4	0	2	4	2	1	-1	0
4	0	3	0	3000	-1	-1	-1
4	0	3	1	2220	1	-1	0
4	0	3	2	54	0	-1	1
4	0	3	4	11	1	-1	0
4	0	4	0	3000	-1	-1	-1
4	0	4	1	3000	-1	-1	-1
4	0	4	2	31	0	-1	1
4	0	4	3	12	0	-1	1
5	0	0	1	1870	0	-1	-1
5	0	0	2	10	0	-1	1
5	0	0	3	233	0	-1	1
5	0	0	4	3000	-1	-1	-1
5	0	1	0	2025	1	-1	-1
5	0	1	2	74	0	-1	1
5	0	1	3	35	0	-1	1
5	0	1	4	2415	1	-1	-1
5	0	2	0	36	1	-1	0
5	0	2	1	583	1	-1	0
5	0	2	3	46	0	-1	1
5	0	2	4	401	1	-1	0
5	0	3	0	1929	1	-1	0
5	0	3	1	43	1	-1	0
5	0	3	2	230	0	-1	1
5	0	3	4	466	1	-1	0
5	0	4	0	3000	-1	-1	-1
5	0	4	1	2940	0	-1	-1
5	0	4	2	37	0	-1	1
