tournaments.RoundRobinTournament
AIs
	PuppetSearchMCTS(100, -1, 5000, -1, 100, 100, RandomBiasedAI, BasicConfigurableScript(UNITTYPE,EXPAND,), SimpleSqrtEvaluationFunction3)
	LLM_DeepseekR1(AStarPathFinding)
	PuppetSearchMCTS(100, -1, 5000, -1, 100, 100, RandomBiasedAI, BasicConfigurableScript(UNITTYPE,EXPAND,), SimpleSqrtEvaluationFunction3)
	SCV
	MLPSMCTS(100, -1, 100, 10, 0.05, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
maps
	/Users/mukesh/Desktop/MicroRTS-LLM/maps/24x24/basesWorkers24x24I.xml
	/Users/mukesh/Desktop/MicroRTS-LLM/maps/24x24/basesWorkers24x24J.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	0	0	1	-1
0	0	0	2	56	0	-1	1
0	0	0	3	25	1	-1	0
0	0	0	4	2	1	-1	0
0	0	0	5	2	1	-1	0
0	0	1	0	0	1	0	-1
0	0	1	2	0	1	0	-1
0	0	1	3	0	1	0	-1
0	0	1	4	0	1	0	-1
0	0	1	5	0	1	0	-1
0	0	2	0	44	0	-1	1
0	0	2	1	0	0	1	-1
0	0	2	3	4	1	-1	0
0	0	2	4	9	1	-1	0
0	0	2	5	1	1	-1	0
